Date,Device type,Views
2020-06-28,Computer,1
2020-06-29,Computer,49
2020-06-30,Computer,62
2020-07-01,Computer,46
2020-07-02,Computer,29
2020-07-03,Computer,26
2020-07-04,Computer,13
2020-07-05,Computer,26
2020-07-06,Computer,10
2020-07-07,Computer,0
2020-07-08,Computer,0
2020-07-09,Computer,1
2020-07-10,Computer,0
2020-07-11,Computer,0
2020-07-12,Computer,0
2020-07-13,Computer,45
2020-07-14,Computer,77
2020-07-15,Computer,23
2020-07-16,Computer,47
2020-07-17,Computer,21
2020-07-18,Computer,13
2020-07-19,Computer,9
2020-07-20,Computer,35
2020-07-21,Computer,17
2020-07-22,Computer,17
2020-07-23,Computer,67
2020-07-24,Computer,46
2020-07-25,Computer,27
2020-07-26,Computer,23
2020-07-27,Computer,22
2020-07-28,Computer,36
2020-07-29,Computer,18
2020-07-30,Computer,17
2020-07-31,Computer,10
2020-08-01,Computer,4
2020-08-02,Computer,2
2020-08-03,Computer,13
2020-08-04,Computer,10
2020-08-05,Computer,96
2020-08-06,Computer,35
2020-08-07,Computer,18
2020-08-08,Computer,3
2020-08-09,Computer,9
2020-08-10,Computer,31
2020-08-11,Computer,50
2020-08-12,Computer,32
2020-08-13,Computer,32
2020-08-14,Computer,9
2020-08-15,Computer,6
2020-08-16,Computer,11
2020-08-17,Computer,12
2020-08-18,Computer,14
2020-08-19,Computer,20
2020-08-20,Computer,14
2020-08-21,Computer,9
2020-08-22,Computer,0
2020-08-23,Computer,3
2020-08-24,Computer,11
2020-08-25,Computer,21
2020-08-26,Computer,10
2020-08-27,Computer,18
2020-08-28,Computer,6
2020-08-29,Computer,1
2020-08-30,Computer,9
2020-08-31,Computer,13
2020-09-01,Computer,31
2020-09-02,Computer,16
2020-09-03,Computer,31
2020-09-04,Computer,10
2020-09-05,Computer,11
2020-09-06,Computer,0
2020-09-07,Computer,10
2020-09-08,Computer,15
2020-09-09,Computer,12
2020-09-10,Computer,9
2020-09-11,Computer,10
2020-09-12,Computer,9
2020-09-13,Computer,1
2020-09-14,Computer,13
2020-09-15,Computer,9
2020-09-16,Computer,9
2020-09-17,Computer,39
2020-09-18,Computer,23
2020-09-19,Computer,24
2020-09-20,Computer,15
2020-09-21,Computer,39
2020-09-22,Computer,43
2020-09-23,Computer,25
2020-09-24,Computer,41
2020-09-25,Computer,23
2020-09-26,Computer,16
2020-09-27,Computer,8
2020-09-28,Computer,22
2020-09-29,Computer,23
2020-09-30,Computer,19
2020-10-01,Computer,17
2020-10-02,Computer,7
2020-10-03,Computer,11
2020-10-04,Computer,17
2020-10-05,Computer,3
2020-10-06,Computer,6
2020-10-07,Computer,2
2020-10-08,Computer,2
2020-10-09,Computer,0
2020-10-10,Computer,3
2020-10-11,Computer,0
2020-10-12,Computer,1
2020-10-13,Computer,11
2020-10-14,Computer,29
2020-10-15,Computer,10
2020-10-16,Computer,6
2020-10-17,Computer,5
2020-10-18,Computer,0
2020-10-19,Computer,0
2020-10-20,Computer,1
2020-10-21,Computer,3
2020-10-22,Computer,3
2020-10-23,Computer,1
2020-10-24,Computer,0
2020-10-25,Computer,6
2020-10-26,Computer,0
2020-10-27,Computer,0
2020-10-28,Computer,0
2020-10-29,Computer,4
2020-10-30,Computer,1
2020-10-31,Computer,0
2020-11-01,Computer,1
2020-11-02,Computer,1
2020-11-03,Computer,0
2020-11-04,Computer,3
2020-11-05,Computer,0
2020-11-06,Computer,0
2020-11-07,Computer,2
2020-11-08,Computer,2
2020-11-09,Computer,4
2020-11-10,Computer,0
2020-11-11,Computer,2
2020-11-12,Computer,0
2020-11-13,Computer,1
2020-11-14,Computer,0
2020-11-15,Computer,0
2020-11-16,Computer,0
2020-11-17,Computer,1
2020-11-18,Computer,1
2020-11-19,Computer,0
2020-11-20,Computer,0
2020-11-21,Computer,0
2020-11-22,Computer,1
2020-11-23,Computer,0
2020-11-24,Computer,0
2020-11-25,Computer,0
2020-11-26,Computer,0
2020-11-27,Computer,0
2020-11-28,Computer,0
2020-11-29,Computer,0
2020-11-30,Computer,4
2020-12-01,Computer,5
2020-12-02,Computer,0
2020-12-03,Computer,1
2020-12-04,Computer,3
2020-12-05,Computer,2
2020-12-06,Computer,0
2020-12-07,Computer,0
2020-12-08,Computer,3
2020-12-09,Computer,1
2020-12-10,Computer,0
2020-12-11,Computer,2
2020-12-12,Computer,1
2020-12-13,Computer,2
2020-12-14,Computer,0
2020-12-15,Computer,0
2020-12-16,Computer,1
2020-12-17,Computer,4
2020-12-18,Computer,2
2020-12-19,Computer,0
2020-12-20,Computer,0
2020-12-21,Computer,0
2020-12-22,Computer,1
2020-12-23,Computer,0
2020-12-24,Computer,2
2020-12-25,Computer,0
2020-12-26,Computer,0
2020-12-27,Computer,0
2020-12-28,Computer,0
2020-12-29,Computer,1
2020-12-30,Computer,0
2020-12-31,Computer,0
2021-01-01,Computer,0
2021-01-02,Computer,0
2021-01-03,Computer,0
2021-01-04,Computer,1
2021-01-05,Computer,2
2021-01-06,Computer,1
2021-01-07,Computer,0
2021-01-08,Computer,1
2021-01-09,Computer,0
2021-01-10,Computer,1
2021-01-11,Computer,0
2021-01-12,Computer,0
2021-01-13,Computer,0
2021-01-14,Computer,1
2021-01-15,Computer,0
2021-01-16,Computer,1
2021-01-17,Computer,0
2021-01-18,Computer,1
2021-01-19,Computer,0
2021-01-20,Computer,0
2021-01-21,Computer,1
2021-01-22,Computer,0
2021-01-23,Computer,0
2021-01-24,Computer,0
2021-01-25,Computer,1
2021-01-26,Computer,0
2021-01-27,Computer,3
2021-01-28,Computer,2
2021-01-29,Computer,0
