Date,Geography,Views
2020-06-28,BJ,0
2020-06-29,BJ,0
2020-06-30,BJ,0
2020-07-01,BJ,0
2020-07-02,BJ,0
2020-07-03,BJ,0
2020-07-04,BJ,0
2020-07-05,BJ,0
2020-07-06,BJ,0
2020-07-07,BJ,0
2020-07-08,BJ,0
2020-07-09,BJ,0
2020-07-10,BJ,0
2020-07-11,BJ,0
2020-07-12,BJ,0
2020-07-13,BJ,0
2020-07-14,BJ,0
2020-07-15,BJ,0
2020-07-16,BJ,0
2020-07-17,BJ,0
2020-07-18,BJ,0
2020-07-19,BJ,0
2020-07-20,BJ,0
2020-07-21,BJ,0
2020-07-22,BJ,0
2020-07-23,BJ,0
2020-07-24,BJ,0
2020-07-25,BJ,0
2020-07-26,BJ,0
2020-07-27,BJ,0
2020-07-28,BJ,0
2020-07-29,BJ,0
2020-07-30,BJ,0
2020-07-31,BJ,0
2020-08-01,BJ,0
2020-08-02,BJ,0
2020-08-03,BJ,0
2020-08-04,BJ,0
2020-08-05,BJ,0
2020-08-06,BJ,0
2020-08-07,BJ,0
2020-08-08,BJ,0
2020-08-09,BJ,0
2020-08-10,BJ,0
2020-08-11,BJ,0
2020-08-12,BJ,0
2020-08-13,BJ,0
2020-08-14,BJ,0
2020-08-15,BJ,0
2020-08-16,BJ,0
2020-08-17,BJ,0
2020-08-18,BJ,0
2020-08-19,BJ,0
2020-08-20,BJ,0
2020-08-21,BJ,0
2020-08-22,BJ,0
2020-08-23,BJ,0
2020-08-24,BJ,0
2020-08-25,BJ,0
2020-08-26,BJ,0
2020-08-27,BJ,0
2020-08-28,BJ,0
2020-08-29,BJ,0
2020-08-30,BJ,0
2020-08-31,BJ,0
2020-09-01,BJ,0
2020-09-02,BJ,0
2020-09-03,BJ,0
2020-09-04,BJ,0
2020-09-05,BJ,0
2020-09-06,BJ,0
2020-09-07,BJ,0
2020-09-08,BJ,0
2020-09-09,BJ,0
2020-09-10,BJ,0
2020-09-11,BJ,0
2020-09-12,BJ,0
2020-09-13,BJ,0
2020-09-14,BJ,0
2020-09-15,BJ,0
2020-09-16,BJ,0
2020-09-17,BJ,0
2020-09-18,BJ,0
2020-09-19,BJ,0
2020-09-20,BJ,0
2020-09-21,BJ,0
2020-09-22,BJ,0
2020-09-23,BJ,0
2020-09-24,BJ,0
2020-09-25,BJ,0
2020-09-26,BJ,0
2020-09-27,BJ,0
2020-09-28,BJ,0
2020-09-29,BJ,0
2020-09-30,BJ,0
2020-10-01,BJ,0
2020-10-02,BJ,0
2020-10-03,BJ,0
2020-10-04,BJ,0
2020-10-05,BJ,0
2020-10-06,BJ,0
2020-10-07,BJ,0
2020-10-08,BJ,0
2020-10-09,BJ,0
2020-10-10,BJ,0
2020-10-11,BJ,0
2020-10-12,BJ,0
2020-10-13,BJ,0
2020-10-14,BJ,0
2020-10-15,BJ,0
2020-10-16,BJ,0
2020-10-17,BJ,0
2020-10-18,BJ,0
2020-10-19,BJ,0
2020-10-20,BJ,0
2020-10-21,BJ,0
2020-10-22,BJ,0
2020-10-23,BJ,0
2020-10-24,BJ,0
2020-10-25,BJ,0
2020-10-26,BJ,0
2020-10-27,BJ,0
2020-10-28,BJ,0
2020-10-29,BJ,0
2020-10-30,BJ,0
2020-10-31,BJ,0
2020-11-01,BJ,0
2020-11-02,BJ,0
2020-11-03,BJ,0
2020-11-04,BJ,0
2020-11-05,BJ,0
2020-11-06,BJ,0
2020-11-07,BJ,0
2020-11-08,BJ,0
2020-11-09,BJ,0
2020-11-10,BJ,0
2020-11-11,BJ,0
2020-11-12,BJ,0
2020-11-13,BJ,0
2020-11-14,BJ,0
2020-11-15,BJ,0
2020-11-16,BJ,0
2020-11-17,BJ,0
2020-11-18,BJ,0
2020-11-19,BJ,0
2020-11-20,BJ,0
2020-11-21,BJ,0
2020-11-22,BJ,0
2020-11-23,BJ,0
2020-11-24,BJ,0
2020-11-25,BJ,0
2020-11-26,BJ,0
2020-11-27,BJ,0
2020-11-28,BJ,0
2020-11-29,BJ,0
2020-11-30,BJ,0
2020-12-01,BJ,0
2020-12-02,BJ,0
2020-12-03,BJ,0
2020-12-04,BJ,0
2020-12-05,BJ,0
2020-12-06,BJ,0
2020-12-07,BJ,0
2020-12-08,BJ,0
2020-12-09,BJ,0
2020-12-10,BJ,0
2020-12-11,BJ,0
2020-12-12,BJ,0
2020-12-13,BJ,0
2020-12-14,BJ,0
2020-12-15,BJ,0
2020-12-16,BJ,0
