Date,New and returning viewers,Views
2020-06-28,Unknown,1
2020-06-29,Unknown,72
2020-06-30,Unknown,76
2020-07-01,Unknown,70
2020-07-02,Unknown,57
2020-07-03,Unknown,49
2020-07-04,Unknown,34
2020-07-05,Unknown,53
2020-07-06,Unknown,24
2020-07-07,Unknown,1
2020-07-08,Unknown,2
2020-07-09,Unknown,3
2020-07-10,Unknown,0
2020-07-11,Unknown,1
2020-07-12,Unknown,0
2020-07-13,Unknown,61
2020-07-14,Unknown,99
2020-07-15,Unknown,32
2020-07-16,Unknown,54
2020-07-17,Unknown,24
2020-07-18,Unknown,14
2020-07-19,Unknown,9
2020-07-20,Unknown,39
2020-07-21,Unknown,18
2020-07-22,Unknown,24
2020-07-23,Unknown,94
2020-07-24,Unknown,55
2020-07-25,Unknown,32
2020-07-26,Unknown,24
2020-07-27,Unknown,26
2020-07-28,Unknown,39
2020-07-29,Unknown,23
2020-07-30,Unknown,26
2020-07-31,Unknown,10
2020-08-01,Unknown,4
2020-08-02,Unknown,6
2020-08-03,Unknown,24
2020-08-04,Unknown,20
2020-08-05,Unknown,108
2020-08-06,Unknown,41
2020-08-07,Unknown,26
2020-08-08,Unknown,11
2020-08-09,Unknown,26
2020-08-10,Unknown,44
2020-08-11,Unknown,75
2020-08-12,Unknown,55
2020-08-13,Unknown,41
2020-08-14,Unknown,18
2020-08-15,Unknown,17
2020-08-16,Unknown,14
2020-08-17,Unknown,20
2020-08-18,Unknown,18
2020-08-19,Unknown,23
2020-08-20,Unknown,25
2020-08-21,Unknown,15
2020-08-22,Unknown,1
2020-08-23,Unknown,4
2020-08-24,Unknown,15
2020-08-25,Unknown,27
2020-08-26,Unknown,18
2020-08-27,Unknown,20
2020-08-28,Unknown,15
2020-08-29,Unknown,3
2020-08-30,Unknown,10
2020-08-31,Unknown,22
2020-09-01,Unknown,38
2020-09-02,Unknown,24
2020-09-03,Unknown,42
2020-09-04,Unknown,21
2020-09-05,Unknown,20
2020-09-06,Unknown,30
2020-09-07,Unknown,16
2020-09-08,Unknown,30
2020-09-09,Unknown,34
2020-09-10,Unknown,10
2020-09-11,Unknown,16
2020-09-12,Unknown,12
2020-09-13,Unknown,3
2020-09-14,Unknown,31
2020-09-15,Unknown,20
2020-09-16,Unknown,16
2020-09-17,Unknown,48
2020-09-18,Unknown,32
2020-09-19,Unknown,51
2020-09-20,Unknown,30
2020-09-21,Unknown,53
2020-09-22,Unknown,67
2020-09-23,Unknown,39
2020-09-24,Unknown,57
2020-09-25,Unknown,34
2020-09-26,Unknown,21
2020-09-27,Unknown,20
2020-09-28,Unknown,27
2020-09-29,Unknown,33
2020-09-30,Unknown,30
2020-10-01,Unknown,32
2020-10-02,Unknown,12
2020-10-03,Unknown,16
2020-10-04,Unknown,19
2020-10-05,Unknown,9
2020-10-06,Unknown,19
2020-10-07,Unknown,14
2020-10-08,Unknown,21
2020-10-09,Unknown,4
2020-10-10,Unknown,13
2020-10-11,Unknown,13
2020-10-12,Unknown,10
2020-10-13,Unknown,17
2020-10-14,Unknown,34
2020-10-15,Unknown,15
2020-10-16,Unknown,32
2020-10-17,Unknown,5
2020-10-18,Unknown,11
2020-10-19,Unknown,0
2020-10-20,Unknown,6
2020-10-21,Unknown,3
2020-10-22,Unknown,4
2020-10-23,Unknown,3
2020-10-24,Unknown,2
2020-10-25,Unknown,9
2020-10-26,Unknown,13
2020-10-27,Unknown,7
2020-10-28,Unknown,0
2020-10-29,Unknown,4
2020-10-30,Unknown,1
2020-10-31,Unknown,1
2020-11-01,Unknown,5
2020-11-02,Unknown,3
2020-11-03,Unknown,0
2020-11-04,Unknown,4
2020-11-05,Unknown,0
2020-11-06,Unknown,3
2020-11-07,Unknown,3
2020-11-08,Unknown,4
2020-11-09,Unknown,19
2020-11-10,Unknown,1
2020-11-11,Unknown,3
2020-11-12,Unknown,0
2020-11-13,Unknown,2
2020-11-14,Unknown,0
2020-11-15,Unknown,0
2020-11-16,Unknown,0
2020-11-17,Unknown,2
2020-11-18,Unknown,1
2020-11-19,Unknown,0
2020-11-20,Unknown,1
2020-11-21,Unknown,0
2020-11-22,Unknown,1
2020-11-23,Unknown,1
2020-11-24,Unknown,0
2020-11-25,Unknown,4
2020-11-26,Unknown,0
2020-11-27,Unknown,0
2020-11-28,Unknown,0
2020-11-29,Unknown,2
2020-11-30,Unknown,5
2020-12-01,Unknown,5
2020-12-02,Unknown,0
2020-12-03,Unknown,1
2020-12-04,Unknown,4
2020-12-05,Unknown,2
2020-12-06,Unknown,0
2020-12-07,Unknown,0
2020-12-08,Unknown,4
2020-12-09,Unknown,1
2020-12-10,Unknown,0
2020-12-11,Unknown,3
2020-12-12,Unknown,1
2020-12-13,Unknown,4
2020-12-14,Unknown,0
2020-12-15,Unknown,0
