Date,Operating system,Views
2020-06-28,Unknown,0
2020-06-29,Unknown,0
2020-06-30,Unknown,0
2020-07-01,Unknown,0
2020-07-02,Unknown,0
2020-07-03,Unknown,0
2020-07-04,Unknown,0
2020-07-05,Unknown,0
2020-07-06,Unknown,0
2020-07-07,Unknown,0
2020-07-08,Unknown,0
2020-07-09,Unknown,0
2020-07-10,Unknown,0
2020-07-11,Unknown,0
2020-07-12,Unknown,0
2020-07-13,Unknown,0
2020-07-14,Unknown,0
2020-07-15,Unknown,0
2020-07-16,Unknown,0
2020-07-17,Unknown,0
2020-07-18,Unknown,0
2020-07-19,Unknown,0
2020-07-20,Unknown,0
2020-07-21,Unknown,0
2020-07-22,Unknown,0
2020-07-23,Unknown,0
2020-07-24,Unknown,0
2020-07-25,Unknown,0
2020-07-26,Unknown,0
2020-07-27,Unknown,0
2020-07-28,Unknown,0
2020-07-29,Unknown,0
2020-07-30,Unknown,0
2020-07-31,Unknown,0
2020-08-01,Unknown,0
2020-08-02,Unknown,0
2020-08-03,Unknown,0
2020-08-04,Unknown,0
2020-08-05,Unknown,0
2020-08-06,Unknown,0
2020-08-07,Unknown,0
2020-08-08,Unknown,0
2020-08-09,Unknown,0
2020-08-10,Unknown,0
2020-08-11,Unknown,0
2020-08-12,Unknown,0
2020-08-13,Unknown,0
2020-08-14,Unknown,0
2020-08-15,Unknown,0
2020-08-16,Unknown,0
2020-08-17,Unknown,0
2020-08-18,Unknown,0
2020-08-19,Unknown,0
2020-08-20,Unknown,0
2020-08-21,Unknown,0
2020-08-22,Unknown,0
2020-08-23,Unknown,0
2020-08-24,Unknown,0
2020-08-25,Unknown,0
2020-08-26,Unknown,0
2020-08-27,Unknown,0
2020-08-28,Unknown,0
2020-08-29,Unknown,0
2020-08-30,Unknown,0
2020-08-31,Unknown,0
2020-09-01,Unknown,0
2020-09-02,Unknown,0
2020-09-03,Unknown,0
2020-09-04,Unknown,0
2020-09-05,Unknown,0
2020-09-06,Unknown,0
2020-09-07,Unknown,0
2020-09-08,Unknown,0
2020-09-09,Unknown,0
2020-09-10,Unknown,0
2020-09-11,Unknown,0
2020-09-12,Unknown,0
2020-09-13,Unknown,0
2020-09-14,Unknown,0
2020-09-15,Unknown,0
2020-09-16,Unknown,0
2020-09-17,Unknown,0
2020-09-18,Unknown,0
