Operating system,Views,Watch time (hours),Average view duration
Total,26625,2157.3497,0:04:51
Windows,12506,1099.1683,0:05:16
Android,6089,381.0323,0:03:45
Linux,4567,471.4054,0:06:11
Macintosh,2175,136.5127,0:03:45
iOS,1058,55.4011,0:03:08
Smart TV,59,2.8996,0:02:56
Chrome OS,19,1.781,0:05:37
WebOS,10,1.1317,0:06:47
Amazon Fire OS,8,0.5996,0:04:29
Apple tvOS,4,0.0254,0:00:22
KaiOS,3,0.0374,0:00:44
Nintendo Switch,3,0.0072,0:00:08
Roku OS,2,0.069,0:02:04
Xbox,1,0.0029,0:00:10
Chromecast,1,0.003,0:00:10
Unknown,0,0,
