Date,Sharing service,Shares
2020-06-28,Facebook,0
2020-06-29,Facebook,0
2020-06-30,Facebook,0
2020-07-01,Facebook,0
2020-07-02,Facebook,0
2020-07-03,Facebook,0
2020-07-04,Facebook,0
2020-07-05,Facebook,0
2020-07-06,Facebook,0
2020-07-07,Facebook,0
2020-07-08,Facebook,0
2020-07-09,Facebook,0
2020-07-10,Facebook,0
2020-07-11,Facebook,0
2020-07-12,Facebook,0
2020-07-13,Facebook,0
2020-07-14,Facebook,0
2020-07-15,Facebook,0
2020-07-16,Facebook,0
2020-07-17,Facebook,0
2020-07-18,Facebook,0
2020-07-19,Facebook,0
2020-07-20,Facebook,0
2020-07-21,Facebook,0
2020-07-22,Facebook,0
2020-07-23,Facebook,0
2020-07-24,Facebook,0
2020-07-25,Facebook,0
2020-07-26,Facebook,0
2020-07-27,Facebook,0
2020-07-28,Facebook,0
2020-07-29,Facebook,0
2020-07-30,Facebook,0
2020-07-31,Facebook,0
2020-08-01,Facebook,0
2020-08-02,Facebook,0
2020-08-03,Facebook,0
2020-08-04,Facebook,0
2020-08-05,Facebook,0
2020-08-06,Facebook,0
2020-08-07,Facebook,0
2020-08-08,Facebook,0
2020-08-09,Facebook,0
2020-08-10,Facebook,0
2020-08-11,Facebook,0
2020-08-12,Facebook,0
2020-08-13,Facebook,0
2020-08-14,Facebook,0
2020-08-15,Facebook,0
2020-08-16,Facebook,0
2020-08-17,Facebook,0
2020-08-18,Facebook,0
2020-08-19,Facebook,0
2020-08-20,Facebook,0
2020-08-21,Facebook,0
2020-08-22,Facebook,0
2020-08-23,Facebook,0
2020-08-24,Facebook,0
2020-08-25,Facebook,0
2020-08-26,Facebook,0
2020-08-27,Facebook,0
2020-08-28,Facebook,0
2020-08-29,Facebook,0
2020-08-30,Facebook,0
2020-08-31,Facebook,0
2020-09-01,Facebook,0
2020-09-02,Facebook,0
2020-09-03,Facebook,0
2020-09-04,Facebook,0
2020-09-05,Facebook,0
2020-09-06,Facebook,0
2020-09-07,Facebook,0
2020-09-08,Facebook,0
2020-09-09,Facebook,0
2020-09-10,Facebook,0
2020-09-11,Facebook,0
2020-09-12,Facebook,0
2020-09-13,Facebook,0
2020-09-14,Facebook,0
2020-09-15,Facebook,0
2020-09-16,Facebook,0
2020-09-17,Facebook,0
2020-09-18,Facebook,0
2020-09-19,Facebook,0
2020-09-20,Facebook,0
2020-09-21,Facebook,0
2020-09-22,Facebook,0
2020-09-23,Facebook,0
2020-09-24,Facebook,0
2020-09-25,Facebook,0
2020-09-26,Facebook,0
2020-09-27,Facebook,0
2020-09-28,Facebook,0
2020-09-29,Facebook,0
2020-09-30,Facebook,0
2020-10-01,Facebook,0
2020-10-02,Facebook,0
2020-10-03,Facebook,0
2020-10-04,Facebook,0
2020-10-05,Facebook,0
2020-10-06,Facebook,0
2020-10-07,Facebook,0
2020-10-08,Facebook,0
2020-10-09,Facebook,0
2020-10-10,Facebook,0
2020-10-11,Facebook,0
2020-10-12,Facebook,0
2020-10-13,Facebook,0
2020-10-14,Facebook,0
2020-10-15,Facebook,0
2020-10-16,Facebook,0
2020-10-17,Facebook,0
2020-10-18,Facebook,0
2020-10-19,Facebook,0
2020-10-20,Facebook,0
2020-10-21,Facebook,0
2020-10-22,Facebook,0
2020-10-23,Facebook,0
2020-10-24,Facebook,0
2020-10-25,Facebook,0
2020-10-26,Facebook,0
2020-10-27,Facebook,0
2020-10-28,Facebook,0
2020-10-29,Facebook,0
2020-10-30,Facebook,0
2020-10-31,Facebook,0
2020-11-01,Facebook,0
2020-11-02,Facebook,0
2020-11-03,Facebook,0
2020-11-04,Facebook,0
2020-11-05,Facebook,0
2020-11-06,Facebook,0
2020-11-07,Facebook,0
2020-11-08,Facebook,0
2020-11-09,Facebook,0
2020-11-10,Facebook,0
2020-11-11,Facebook,0
2020-11-12,Facebook,0
2020-11-13,Facebook,0
2020-11-14,Facebook,0
2020-11-15,Facebook,0
2020-11-16,Facebook,0
2020-11-17,Facebook,0
2020-11-18,Facebook,0
2020-11-19,Facebook,0
2020-11-20,Facebook,0
2020-11-21,Facebook,0
2020-11-22,Facebook,0
2020-11-23,Facebook,0
2020-11-24,Facebook,0
2020-11-25,Facebook,0
2020-11-26,Facebook,0
2020-11-27,Facebook,0
2020-11-28,Facebook,0
2020-11-29,Facebook,0
2020-11-30,Facebook,0
2020-12-01,Facebook,0
2020-12-02,Facebook,0
2020-12-03,Facebook,0
2020-12-04,Facebook,0
2020-12-05,Facebook,0
2020-12-06,Facebook,0
2020-12-07,Facebook,0
2020-12-08,Facebook,0
2020-12-09,Facebook,0
2020-12-10,Facebook,0
2020-12-11,Facebook,0
2020-12-12,Facebook,0
2020-12-13,Facebook,0
2020-12-14,Facebook,0
2020-12-15,Facebook,0
2020-12-16,Facebook,0
2020-12-17,Facebook,0
2020-12-18,Facebook,0
2020-12-19,Facebook,0
2020-12-20,Facebook,0
2020-12-21,Facebook,0
2020-12-22,Facebook,0
2020-12-23,Facebook,0
2020-12-24,Facebook,0
2020-12-25,Facebook,0
2020-12-26,Facebook,0
2020-12-27,Facebook,0
2020-12-28,Facebook,0
2020-12-29,Facebook,0
2020-12-30,Facebook,0
2020-12-31,Facebook,0
2021-01-01,Facebook,0
2021-01-02,Facebook,0
2021-01-03,Facebook,0
2021-01-04,Facebook,0
2021-01-05,Facebook,0
2021-01-06,Facebook,0
2021-01-07,Facebook,0
2021-01-08,Facebook,0
2021-01-09,Facebook,0
2021-01-10,Facebook,0
2021-01-11,Facebook,0
2021-01-12,Facebook,0
2021-01-13,Facebook,0
2021-01-14,Facebook,0
2021-01-15,Facebook,0
2021-01-16,Facebook,0
2021-01-17,Facebook,0
2021-01-18,Facebook,0
2021-01-19,Facebook,0
2021-01-20,Facebook,0
2021-01-21,Facebook,0
2021-01-22,Facebook,0
2021-01-23,Facebook,0
2021-01-24,Facebook,0
2021-01-25,Facebook,0
2021-01-26,Facebook,0
2021-01-27,Facebook,0
2021-01-28,Facebook,0
2021-01-29,Facebook,0
2021-01-30,Facebook,0
2021-01-31,Facebook,0
2021-02-01,Facebook,0
2021-02-02,Facebook,0
2021-02-03,Facebook,0
2021-02-04,Facebook,0
2021-02-05,Facebook,0
2021-02-06,Facebook,0
2021-02-07,Facebook,0
2021-02-08,Facebook,0
2021-02-09,Facebook,0
2021-02-10,Facebook,0
2021-02-11,Facebook,0
2021-02-12,Facebook,0
2021-02-13,Facebook,0
2021-02-14,Facebook,0
2021-02-15,Facebook,0
2021-02-16,Facebook,0
2021-02-17,Facebook,0
2021-02-18,Facebook,0
2021-02-19,Facebook,0
2021-02-20,Facebook,0
2021-02-21,Facebook,0
2021-02-22,Facebook,0
2021-02-23,Facebook,0
2021-02-24,Facebook,0
2021-02-25,Facebook,0
2021-02-26,Facebook,0
2021-02-27,Facebook,0
2021-02-28,Facebook,0
2021-03-01,Facebook,0
2021-03-02,Facebook,0
2021-03-03,Facebook,0
2021-03-04,Facebook,0
2021-03-05,Facebook,0
2021-03-06,Facebook,0
2021-03-07,Facebook,0
2021-03-08,Facebook,0
2021-03-09,Facebook,0
2021-03-10,Facebook,0
2021-03-11,Facebook,0
2021-03-12,Facebook,0
2021-03-13,Facebook,0
2021-03-14,Facebook,0
2021-03-15,Facebook,0
2021-03-16,Facebook,0
2021-03-17,Facebook,0
2021-03-18,Facebook,0
2021-03-19,Facebook,0
2021-03-20,Facebook,0
2021-03-21,Facebook,0
2021-03-22,Facebook,0
2021-03-23,Facebook,0
2021-03-24,Facebook,0
2021-03-25,Facebook,0
