Date,Subscription status,Views
2020-06-28,Subscribed,1
2020-06-29,Subscribed,16
2020-06-30,Subscribed,23
2020-07-01,Subscribed,23
2020-07-02,Subscribed,26
2020-07-03,Subscribed,22
2020-07-04,Subscribed,28
2020-07-05,Subscribed,32
2020-07-06,Subscribed,9
2020-07-07,Subscribed,1
2020-07-08,Subscribed,0
2020-07-09,Subscribed,2
2020-07-10,Subscribed,0
2020-07-11,Subscribed,0
2020-07-12,Subscribed,0
2020-07-13,Subscribed,29
2020-07-14,Subscribed,49
2020-07-15,Subscribed,21
2020-07-16,Subscribed,31
2020-07-17,Subscribed,14
2020-07-18,Subscribed,6
2020-07-19,Subscribed,6
2020-07-20,Subscribed,10
2020-07-21,Subscribed,17
2020-07-22,Subscribed,13
2020-07-23,Subscribed,51
2020-07-24,Subscribed,41
2020-07-25,Subscribed,25
2020-07-26,Subscribed,22
2020-07-27,Subscribed,9
2020-07-28,Subscribed,35
2020-07-29,Subscribed,18
2020-07-30,Subscribed,20
2020-07-31,Subscribed,8
2020-08-01,Subscribed,2
2020-08-02,Subscribed,5
2020-08-03,Subscribed,14
2020-08-04,Subscribed,10
2020-08-05,Subscribed,74
2020-08-06,Subscribed,34
2020-08-07,Subscribed,15
2020-08-08,Subscribed,10
2020-08-09,Subscribed,24
2020-08-10,Subscribed,31
2020-08-11,Subscribed,45
2020-08-12,Subscribed,43
2020-08-13,Subscribed,36
2020-08-14,Subscribed,16
2020-08-15,Subscribed,15
2020-08-16,Subscribed,6
2020-08-17,Subscribed,18
2020-08-18,Subscribed,15
2020-08-19,Subscribed,20
2020-08-20,Subscribed,16
2020-08-21,Subscribed,11
2020-08-22,Subscribed,1
2020-08-23,Subscribed,4
2020-08-24,Subscribed,9
2020-08-25,Subscribed,22
2020-08-26,Subscribed,14
2020-08-27,Subscribed,15
2020-08-28,Subscribed,4
2020-08-29,Subscribed,1
2020-08-30,Subscribed,6
2020-08-31,Subscribed,18
2020-09-01,Subscribed,30
2020-09-02,Subscribed,21
2020-09-03,Subscribed,33
2020-09-04,Subscribed,15
2020-09-05,Subscribed,17
2020-09-06,Subscribed,29
2020-09-07,Subscribed,13
2020-09-08,Subscribed,28
2020-09-09,Subscribed,23
2020-09-10,Subscribed,5
2020-09-11,Subscribed,14
2020-09-12,Subscribed,8
2020-09-13,Subscribed,0
2020-09-14,Subscribed,13
2020-09-15,Subscribed,16
2020-09-16,Subscribed,14
2020-09-17,Subscribed,22
