Date,Subtitles and CC,Views
2020-06-28,,1
2020-06-29,,70
2020-06-30,,76
2020-07-01,,70
2020-07-02,,57
2020-07-03,,49
2020-07-04,,34
2020-07-05,,53
2020-07-06,,24
2020-07-07,,1
2020-07-08,,2
2020-07-09,,3
2020-07-10,,0
2020-07-11,,1
2020-07-12,,0
2020-07-13,,60
2020-07-14,,97
2020-07-15,,32
2020-07-16,,54
2020-07-17,,24
2020-07-18,,13
2020-07-19,,9
2020-07-20,,39
2020-07-21,,18
2020-07-22,,24
2020-07-23,,94
2020-07-24,,55
2020-07-25,,31
2020-07-26,,24
2020-07-27,,26
2020-07-28,,39
2020-07-29,,23
2020-07-30,,26
2020-07-31,,10
2020-08-01,,4
2020-08-02,,6
2020-08-03,,21
2020-08-04,,20
2020-08-05,,108
2020-08-06,,39
2020-08-07,,26
2020-08-08,,11
2020-08-09,,26
2020-08-10,,44
2020-08-11,,75
2020-08-12,,49
2020-08-13,,39
2020-08-14,,18
2020-08-15,,17
2020-08-16,,13
2020-08-17,,20
2020-08-18,,18
2020-08-19,,23
2020-08-20,,25
2020-08-21,,15
2020-08-22,,1
2020-08-23,,4
2020-08-24,,15
2020-08-25,,27
2020-08-26,,18
2020-08-27,,20
2020-08-28,,14
2020-08-29,,3
2020-08-30,,10
2020-08-31,,22
2020-09-01,,38
2020-09-02,,24
2020-09-03,,41
2020-09-04,,21
2020-09-05,,19
2020-09-06,,30
2020-09-07,,16
2020-09-08,,30
2020-09-09,,33
2020-09-10,,10
2020-09-11,,16
2020-09-12,,12
2020-09-13,,3
2020-09-14,,31
2020-09-15,,20
2020-09-16,,16
2020-09-17,,48
2020-09-18,,32
2020-09-19,,50
2020-09-20,,29
2020-09-21,,51
2020-09-22,,65
2020-09-23,,39
2020-09-24,,56
2020-09-25,,34
2020-09-26,,21
2020-09-27,,20
2020-09-28,,27
2020-09-29,,33
2020-09-30,,30
2020-10-01,,29
2020-10-02,,12
2020-10-03,,13
2020-10-04,,19
2020-10-05,,9
2020-10-06,,19
2020-10-07,,14
2020-10-08,,21
2020-10-09,,4
2020-10-10,,13
2020-10-11,,13
2020-10-12,,10
2020-10-13,,17
2020-10-14,,33
2020-10-15,,15
2020-10-16,,32
2020-10-17,,4
2020-10-18,,11
2020-10-19,,0
2020-10-20,,6
2020-10-21,,3
2020-10-22,,3
2020-10-23,,3
2020-10-24,,2
2020-10-25,,9
2020-10-26,,13
2020-10-27,,7
2020-10-28,,0
2020-10-29,,4
2020-10-30,,1
2020-10-31,,1
2020-11-01,,4
2020-11-02,,3
2020-11-03,,0
2020-11-04,,4
2020-11-05,,0
2020-11-06,,3
2020-11-07,,3
2020-11-08,,4
2020-11-09,,8
2020-11-10,,1
2020-11-11,,3
2020-11-12,,0
2020-11-13,,2
2020-11-14,,0
2020-11-15,,0
2020-11-16,,0
2020-11-17,,2
2020-11-18,,1
2020-11-19,,0
2020-11-20,,1
2020-11-21,,0
2020-11-22,,1
2020-11-23,,1
2020-11-24,,0
2020-11-25,,4
2020-11-26,,0
2020-11-27,,0
2020-11-28,,0
2020-11-29,,2
2020-11-30,,5
2020-12-01,,5
2020-12-02,,0
2020-12-03,,1
2020-12-04,,4
2020-12-05,,2
2020-12-06,,0
2020-12-07,,0
2020-12-08,,4
2020-12-09,,1
2020-12-10,,0
2020-12-11,,3
2020-12-12,,1
2020-12-13,,4
2020-12-14,,0
2020-12-15,,0
2020-12-16,,13
2020-12-17,,6
2020-12-18,,7
2020-12-19,,0
2020-12-20,,0
2020-12-21,,2
2020-12-22,,2
2020-12-23,,0
2020-12-24,,4
2020-12-25,,1
2020-12-26,,3
2020-12-27,,3
2020-12-28,,1
2020-12-29,,4
2020-12-30,,0
2020-12-31,,1
2021-01-01,,0
2021-01-02,,0
2021-01-03,,1
2021-01-04,,3
2021-01-05,,5
2021-01-06,,5
2021-01-07,,0
2021-01-08,,2
2021-01-09,,1
2021-01-10,,2
2021-01-11,,1
2021-01-12,,0
2021-01-13,,1
2021-01-14,,1
2021-01-15,,0
2021-01-16,,2
2021-01-17,,0
2021-01-18,,1
