Date,Traffic source,Views
2020-06-28,Direct or unknown,0
2020-06-29,Direct or unknown,6
2020-06-30,Direct or unknown,2
2020-07-01,Direct or unknown,3
2020-07-02,Direct or unknown,0
2020-07-03,Direct or unknown,8
2020-07-04,Direct or unknown,5
2020-07-05,Direct or unknown,11
2020-07-06,Direct or unknown,1
2020-07-07,Direct or unknown,0
2020-07-08,Direct or unknown,0
2020-07-09,Direct or unknown,0
2020-07-10,Direct or unknown,0
2020-07-11,Direct or unknown,0
2020-07-12,Direct or unknown,0
2020-07-13,Direct or unknown,32
2020-07-14,Direct or unknown,22
2020-07-15,Direct or unknown,3
2020-07-16,Direct or unknown,14
2020-07-17,Direct or unknown,4
2020-07-18,Direct or unknown,1
2020-07-19,Direct or unknown,1
2020-07-20,Direct or unknown,10
2020-07-21,Direct or unknown,0
2020-07-22,Direct or unknown,7
2020-07-23,Direct or unknown,16
2020-07-24,Direct or unknown,14
2020-07-25,Direct or unknown,11
2020-07-26,Direct or unknown,2
2020-07-27,Direct or unknown,1
2020-07-28,Direct or unknown,2
2020-07-29,Direct or unknown,5
2020-07-30,Direct or unknown,4
2020-07-31,Direct or unknown,0
2020-08-01,Direct or unknown,1
2020-08-02,Direct or unknown,0
2020-08-03,Direct or unknown,4
2020-08-04,Direct or unknown,2
2020-08-05,Direct or unknown,24
2020-08-06,Direct or unknown,14
2020-08-07,Direct or unknown,3
2020-08-08,Direct or unknown,0
2020-08-09,Direct or unknown,1
2020-08-10,Direct or unknown,5
2020-08-11,Direct or unknown,10
2020-08-12,Direct or unknown,10
2020-08-13,Direct or unknown,4
2020-08-14,Direct or unknown,3
2020-08-15,Direct or unknown,3
2020-08-16,Direct or unknown,0
2020-08-17,Direct or unknown,1
2020-08-18,Direct or unknown,2
2020-08-19,Direct or unknown,1
2020-08-20,Direct or unknown,4
2020-08-21,Direct or unknown,1
2020-08-22,Direct or unknown,0
2020-08-23,Direct or unknown,1
2020-08-24,Direct or unknown,2
2020-08-25,Direct or unknown,1
2020-08-26,Direct or unknown,1
2020-08-27,Direct or unknown,1
2020-08-28,Direct or unknown,0
2020-08-29,Direct or unknown,0
2020-08-30,Direct or unknown,0
2020-08-31,Direct or unknown,1
2020-09-01,Direct or unknown,2
2020-09-02,Direct or unknown,1
2020-09-03,Direct or unknown,4
2020-09-04,Direct or unknown,3
2020-09-05,Direct or unknown,1
2020-09-06,Direct or unknown,0
2020-09-07,Direct or unknown,0
2020-09-08,Direct or unknown,2
2020-09-09,Direct or unknown,2
2020-09-10,Direct or unknown,3
2020-09-11,Direct or unknown,1
2020-09-12,Direct or unknown,0
2020-09-13,Direct or unknown,0
2020-09-14,Direct or unknown,7
2020-09-15,Direct or unknown,1
2020-09-16,Direct or unknown,1
2020-09-17,Direct or unknown,2
2020-09-18,Direct or unknown,5
2020-09-19,Direct or unknown,6
2020-09-20,Direct or unknown,2
2020-09-21,Direct or unknown,3
2020-09-22,Direct or unknown,12
2020-09-23,Direct or unknown,3
2020-09-24,Direct or unknown,3
2020-09-25,Direct or unknown,4
2020-09-26,Direct or unknown,0
2020-09-27,Direct or unknown,2
2020-09-28,Direct or unknown,1
2020-09-29,Direct or unknown,5
2020-09-30,Direct or unknown,7
2020-10-01,Direct or unknown,2
2020-10-02,Direct or unknown,0
2020-10-03,Direct or unknown,2
2020-10-04,Direct or unknown,1
2020-10-05,Direct or unknown,1
2020-10-06,Direct or unknown,3
2020-10-07,Direct or unknown,0
2020-10-08,Direct or unknown,1
2020-10-09,Direct or unknown,1
2020-10-10,Direct or unknown,0
2020-10-11,Direct or unknown,0
2020-10-12,Direct or unknown,1
2020-10-13,Direct or unknown,0
2020-10-14,Direct or unknown,1
2020-10-15,Direct or unknown,0
2020-10-16,Direct or unknown,1
2020-10-17,Direct or unknown,0
2020-10-18,Direct or unknown,0
2020-10-19,Direct or unknown,0
2020-10-20,Direct or unknown,0
2020-10-21,Direct or unknown,1
2020-10-22,Direct or unknown,0
2020-10-23,Direct or unknown,0
2020-10-24,Direct or unknown,0
2020-10-25,Direct or unknown,0
2020-10-26,Direct or unknown,0
2020-10-27,Direct or unknown,0
2020-10-28,Direct or unknown,0
2020-10-29,Direct or unknown,0
2020-10-30,Direct or unknown,0
2020-10-31,Direct or unknown,0
2020-11-01,Direct or unknown,0
2020-11-02,Direct or unknown,0
2020-11-03,Direct or unknown,0
2020-11-04,Direct or unknown,0
2020-11-05,Direct or unknown,0
2020-11-06,Direct or unknown,0
2020-11-07,Direct or unknown,0
2020-11-08,Direct or unknown,0
2020-11-09,Direct or unknown,0
2020-11-10,Direct or unknown,0
2020-11-11,Direct or unknown,0
2020-11-12,Direct or unknown,0
2020-11-13,Direct or unknown,1
2020-11-14,Direct or unknown,0
2020-11-15,Direct or unknown,0
2020-11-16,Direct or unknown,0
2020-11-17,Direct or unknown,1
2020-11-18,Direct or unknown,0
2020-11-19,Direct or unknown,0
2020-11-20,Direct or unknown,0
