Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,26625,2157.3497,0:04:51,606516,2.45
Channel pages,8444,780.234,0:05:32,218825,2.95
Browse features,4759,321.8387,0:04:03,109132,3.43
Direct or unknown,4123,327.4812,0:04:45,,
YouTube search,3123,232.865,0:04:28,93094,2.73
Suggested videos,2080,186.3411,0:05:22,172968,0.82
External,1730,129.6207,0:04:29,,
Playlists,1056,54.3226,0:03:05,12496,5.64
Other YouTube features,729,70.2796,0:05:47,,
Notifications,581,54.3668,0:05:36,,
Product pages,,,,1,0
