Date,Views,Watch time (hours),Average view duration
Total,26625,2157.3497,0:04:51
2023-12-28,25,0.3236,0:00:46
2023-12-27,8,0.2989,0:02:14
2023-12-26,57,2.4794,0:02:36
2023-12-25,33,2.9433,0:05:21
2023-12-24,36,2.7722,0:04:37
2023-12-23,18,1.5736,0:05:14
2023-12-22,49,4.0358,0:04:56
2023-12-21,129,5.2542,0:02:26
2023-12-20,81,4.1928,0:03:06
2023-12-19,103,3.9031,0:02:16
2023-12-18,90,10.3052,0:06:52
2023-12-17,38,2.0816,0:03:17
2023-12-16,50,3.3135,0:03:58
2023-12-15,45,4.8956,0:06:31
2023-12-14,97,10.3623,0:06:24
2023-12-13,123,6.3414,0:03:05
2023-12-12,168,15.3139,0:05:28
2023-12-11,164,17.4489,0:06:23
2023-12-10,56,4.7936,0:05:08
2023-12-09,55,6.0767,0:06:37
2023-12-08,14,0.7948,0:03:24
2023-12-07,20,1.2675,0:03:48
2023-12-06,36,1.0817,0:01:48
2023-12-05,30,0.9268,0:01:51
2023-12-04,42,2.8885,0:04:07
2023-12-03,36,2.4047,0:04:00
2023-12-02,79,4.0406,0:03:04
2023-12-01,191,10.1448,0:03:11
2023-11-30,202,19.2517,0:05:43
2023-11-29,263,26.1387,0:05:57
2023-11-28,359,24.6543,0:04:07
2023-11-27,332,30.1955,0:05:27
2023-11-26,44,4.3466,0:05:55
2023-11-25,58,7.5675,0:07:49
2023-11-24,9,2.9845,0:19:53
2023-11-23,10,0.5995,0:03:35
2023-11-22,6,0.2824,0:02:49
2023-11-21,24,3.757,0:09:23
2023-11-20,18,0.3498,0:01:09
2023-11-19,11,0.7555,0:04:07
2023-11-18,5,0.0581,0:00:41
2023-11-17,13,0.4842,0:02:14
2023-11-16,12,0.2774,0:01:23
2023-11-15,4,0.1759,0:02:38
2023-11-14,9,0.6404,0:04:16
2023-11-13,23,2.8499,0:07:26
2023-11-11,26,1.505,0:03:28
2023-11-10,4,0.0325,0:00:29
2023-11-09,8,0.6681,0:05:00
2023-11-08,0,0,
2023-11-07,6,0.1626,0:01:37
2023-11-06,13,0.5014,0:02:18
2023-11-05,2,0.0312,0:00:56
2023-11-04,7,0.7412,0:06:21
2023-11-03,0,0,
2023-11-02,1,0.017,0:01:01
2023-11-01,2,0.0094,0:00:16
2023-10-31,3,1.0304,0:20:36
2023-10-30,6,0.0992,0:00:59
2023-10-29,2,0.0363,0:01:05
2023-10-28,3,0.2132,0:04:15
2023-10-27,4,0.0082,0:00:07
2023-10-26,3,0.0375,0:00:45
2023-10-25,2,0.0276,0:00:49
2023-10-24,3,0.034,0:00:40
2023-10-23,5,0.0665,0:00:47
2023-10-21,4,0.1727,0:02:35
2023-10-20,2,0.0136,0:00:24
2023-10-19,3,1.1144,0:22:17
2023-10-18,13,0.2531,0:01:10
2023-10-17,23,2.8367,0:07:24
2023-10-16,13,0.0828,0:00:22
2023-10-15,5,0.931,0:11:10
2023-10-14,2,0.0406,0:01:13
2023-10-13,1,0.2144,0:12:52
2023-10-12,12,2.1059,0:10:31
2023-10-11,8,1.4124,0:10:35
2023-10-10,4,0.7163,0:10:44
2023-10-09,1,0.0342,0:02:03
2023-10-08,9,1.0579,0:07:03
2023-10-07,11,0.5332,0:02:54
2023-10-06,7,0.565,0:04:50
2023-10-05,9,0.0977,0:00:39
2023-10-04,8,1.0572,0:07:55
2023-10-03,2,0.1245,0:03:44
2023-10-02,5,0.0808,0:00:58
2023-10-01,3,0.2495,0:04:59
2023-09-30,11,1.1204,0:06:06
2023-09-29,35,3.7426,0:06:24
2023-09-28,7,0.1116,0:00:57
2023-09-26,8,0.3622,0:02:42
2023-09-25,3,0.3705,0:07:24
2023-09-24,1,0.0047,0:00:16
2023-09-23,6,1.0354,0:10:21
2023-09-22,18,3.0735,0:10:14
2023-09-21,4,0.2499,0:03:44
2023-09-20,7,0.0976,0:00:50
2023-09-19,5,0.1974,0:02:22
2023-09-18,4,0.0205,0:00:18
2023-09-17,3,0.0267,0:00:32
2023-09-16,2,0.0041,0:00:07
2023-09-15,6,0.8895,0:08:53
2023-09-14,3,0.6039,0:12:04
2023-09-13,1,0.012,0:00:43
2023-09-12,1,0.0298,0:01:47
2023-09-11,7,0.1004,0:00:51
2023-09-10,2,0.0189,0:00:34
2023-09-09,9,0.1986,0:01:19
2023-09-08,3,0.2507,0:05:00
2023-09-07,2,0.0045,0:00:08
2023-09-06,9,0.0854,0:00:34
2023-09-05,3,0.0602,0:01:12
2023-09-04,3,0.0102,0:00:12
2023-09-03,2,0.4607,0:13:49
2023-09-02,4,0.0337,0:00:30
2023-09-01,5,0.0359,0:00:25
2023-08-31,7,0.3499,0:02:59
2023-08-30,4,0.1419,0:02:07
2023-08-29,3,0.0141,0:00:16
2023-08-28,1,0.0915,0:05:29
2023-08-27,2,0.2463,0:07:23
2023-08-25,5,0.1484,0:01:46
2023-08-24,2,0.0708,0:02:07
2023-08-23,10,0.2712,0:01:37
2023-08-22,1,0.069,0:04:08
2023-08-21,4,0.0093,0:00:08
2023-08-20,0,0,
2023-08-19,1,0.0054,0:00:19
2023-08-18,0,0,
2023-08-17,3,0.8271,0:16:32
2023-08-16,1,0.0728,0:04:22
2023-08-15,2,0.0491,0:01:28
2023-08-14,18,0.7122,0:02:22
2023-08-13,1,0.0096,0:00:34
2023-08-11,22,2.077,0:05:39
2023-08-10,1,0.0097,0:00:34
2023-08-09,4,0.3258,0:04:53
2023-08-08,3,0.3596,0:07:11
2023-08-07,2,0.0144,0:00:25
2023-08-06,2,0.0182,0:00:32
2023-08-05,0,0,
2023-08-04,4,0.0308,0:00:27
2023-08-03,6,0.0393,0:00:23
2023-08-02,4,0.0256,0:00:23
2023-08-01,2,0.0184,0:00:33
2023-07-31,8,0.0441,0:00:19
2023-07-30,4,0.0542,0:00:48
2023-07-29,1,0.0197,0:01:11
2023-07-27,4,0.4267,0:06:24
2023-07-26,13,0.2484,0:01:08
2023-07-25,6,0.0622,0:00:37
2023-07-24,6,0.0734,0:00:44
2023-07-22,10,0.0398,0:00:14
2023-07-21,2,0.2716,0:08:08
2023-07-20,3,0.1692,0:03:22
2023-07-19,10,0.7853,0:04:42
2023-07-18,7,0.9722,0:08:20
2023-07-17,10,1.0515,0:06:18
2023-07-16,3,0.0048,0:00:05
2023-07-15,2,0.0079,0:00:14
2023-07-13,2,0.2015,0:06:02
2023-07-12,4,0.7168,0:10:45
2023-07-10,1,0.0016,0:00:05
2023-07-09,3,0.5278,0:10:33
2023-07-08,1,0.0061,0:00:22
2023-07-07,7,0.2015,0:01:43
2023-07-06,1,0.0107,0:00:38
2023-07-05,5,0.1026,0:01:13
2023-07-04,5,0.1122,0:01:20
2023-07-03,11,0.9143,0:04:59
2023-07-02,2,0.0581,0:01:44
2023-07-01,2,0.0619,0:01:51
2023-06-29,1,0.0009,0:00:03
2023-06-28,11,0.0164,0:00:05
2023-06-27,2,0.005,0:00:08
2023-06-26,6,0.3727,0:03:43
2023-06-25,2,0.0686,0:02:03
2023-06-24,2,0.0226,0:00:40
2023-06-23,1,0.0013,0:00:04
2023-06-22,2,0.1107,0:03:19
2023-06-21,2,0.1372,0:04:06
2023-06-20,3,0.0032,0:00:03
2023-06-19,2,0.0045,0:00:08
2023-06-18,1,0.2564,0:15:23
2023-06-17,0,0,
2023-06-16,6,0.0475,0:00:28
2023-06-15,1,0.0309,0:01:51
2023-06-14,7,0.0278,0:00:14
2023-06-13,2,0.0279,0:00:50
